name,courses,fees,ranking,location,scope,qualifications_required
Saveetha Dental College,B.Com,100000,30,Delhi,Renowned for science programs with excellent placement opportunities,10+2 with NEET
Anna University,MBA,700000,4,Mumbai,Known for mechanical engineering with strong industry ties,10+2 with JEE Advanced
Ethiraj College for Women,MBA,1500000,3,Mumbai,Focus on emerging technologies with industry collaborations,10+2 with SRMJEEE
Loyola College,B.A English,700000,20,Pune,Offers diverse engineering programs with international exposure,10+2 with Science stream
PSG College of Technology,B.A English,30000,5,Mumbai,Focus on sustainable engineering solutions,10+2 with TNEA
Anna University,B.Sc Computer Sci,1000000,2,Kolkata,Renowned for science programs with excellent placement opportunities,10+2 with JEE Advanced
Saveetha Dental College,M.Sc,50000,5,Kolkata,Offers cutting-edge research opportunities in AI,10+2 with NEET
Saveetha Dental College,M.Sc,500000,15,Hyderabad,Focus on sustainable engineering solutions,10+2 with VITEEE
BITS Pilani,B.E Mechanical,500000,30,Chennai,Strong emphasis on research and innovation in engineering,10+2
BITS Pilani,B.E Mechanical,700000,30,Chennai,Offers cutting-edge research opportunities in AI,10+2 with JEE Advanced
BITS Pilani,B.Tech,3000000,5,Jaipur,Offers cutting-edge research opportunities in AI,10+2 with Science stream
Loyola College,B.E Mechanical,1000000,15,Coimbatore,Top-ranked dental college with advanced clinical training,10+2 with VITEEE
BITS Pilani,M.Sc,100000,1,Jaipur,Top-ranked dental college with advanced clinical training,10+2
Stella Maris College,B.E Mechanical,70000,4,Chennai,Top-ranked dental college with advanced clinical training,10+2 with JEE Advanced
Saveetha Dental College,B.E Mechanical,200000,20,Chennai,Focus on emerging technologies with industry collaborations,10+2 with Science stream
NSP University,B.Tech AI,70000,4,Chennai,Premier engineering education with global recognition,10+2 with TNEA
Osmania University,B.Tech AI,100000,50,Delhi,Offers diverse engineering programs with international exposure,10+2
IIT Madras,B.Sc Physics,1500000,1,Hyderabad,Offers a blend of traditional and modern science education,10+2 with NEET
BITS Pilani,B.Tech,1500000,5,Coimbatore,Renowned for science programs with excellent placement opportunities,10+2 with Science stream
Stella Maris College,B.Tech AI,100000,2,Kolkata,Leading commerce college promoting women's empowerment through education,10+2 with TNEA
Delhi University,B.E Mechanical,1500000,30,Hyderabad,Focus on emerging technologies with industry collaborations,10+2 with SRMJEEE
Delhi University,B.Com,100000,100,Bangalore,Offers cutting-edge research opportunities in AI,10+2 with NEET
SRM Institute of Science and Technology,BDS,100000,4,Kolkata,Offers diverse engineering programs with international exposure,10+2 with Science stream
Osmania University,B.Tech AI,700000,1,Kolkata,Strong emphasis on research and innovation in engineering,10+2 with SRMJEEE
Anna University,B.A English,30000,30,Delhi,Offers cutting-edge research opportunities in AI,10+2 with SRMJEEE
Stella Maris College,B.Com,70000,5,Vellore,Top-ranked dental college with advanced clinical training,10+2 with VITEEE
Delhi University,B.A English,1000000,50,Bangalore,Known for mechanical engineering with strong industry ties,10+2 with TNEA
Anna University,M.Sc,200000,1,Mumbai,Leading commerce college promoting women's empowerment through education,10+2 with TNEA
Saveetha Dental College,B.Com,3000000,100,Mumbai,Renowned for science programs with excellent placement opportunities,10+2 with Science stream
NIT Trichy,M.Sc,200000,5,Mumbai,Renowned for science programs with excellent placement opportunities,10+2 with VITEEE
Delhi University,B.Sc Computer Sci,700000,5,Mumbai,Premier engineering education with global recognition,10+2 with NEET
Ethiraj College for Women,M.Sc,100000,2,Kolkata,Known for mechanical engineering with strong industry ties,10+2 with VITEEE
BITS Pilani,B.Com,100000,100,Kolkata,Excellence in arts and humanities with a focus on women's education,10+2 with VITEEE
Amity University,B.E Mechanical,1000000,5,Coimbatore,Offers a blend of traditional and modern science education,10+2 with TNEA
Saveetha Dental College,B.E Mechanical,50000,5,Kolkata,Renowned for science programs with excellent placement opportunities,10+2 with TNEA
Amity University,B.Tech AI,700000,4,Delhi,Offers diverse engineering programs with international exposure,10+2 with NEET
IIT Madras,B.A English,200000,2,Mumbai,Excellence in arts and humanities with a focus on women's education,10+2 with NEET
Saveetha Dental College,M.Sc,70000,100,Vellore,Premier engineering education with global recognition,10+2 with NEET
IIT Madras,M.Sc,1000000,1,Kolkata,Known for mechanical engineering with strong industry ties,10+2 with VITEEE
Osmania University,B.Tech,50000,15,Chennai,Strong emphasis on research and innovation in engineering,10+2 with NEET
Amity University,MBA,30000,2,Delhi,Premier engineering education with global recognition,10+2 with SRMJEEE
PSG College of Technology,B.Tech AI,200000,15,Vellore,Top-ranked dental college with advanced clinical training,10+2 with SRMJEEE
IIT Madras,B.Tech AI,3000000,15,Delhi,Strong emphasis on research and innovation in engineering,10+2 with JEE Advanced
